Gene	mat_SRR364453	pat_SRR364453	pat_SRR364454	mat_SRR364454	mat_SRR415002	pat_SRR415002	pat_SRR415003	mat_SRR415003
GRMZM2G024674	2	1	1	1	2	1	1	1
GRMZM2G024686	61	29	53	98	59	28	53	96
GRMZM2G024690	562	225	219	450	538	216	209	439
GRMZM2G024693	275	122	165	305	257	118	161	290
GRMZM2G024697	19	0	5	0	18	0	5	0
GRMZM2G024708	5	3	5	2	4	3	5	2
GRMZM2G024718	341	25	186	43	321	24	176	42
GRMZM2G024730	569	235	294	535	537	220	279	510
GRMZM2G024733	25	4	18	25	25	4	18	23
GRMZM2G024739	343	128	108	222	330	122	104	207
GRMZM2G024775	327	249	250	618	308	234	242	596
GRMZM2G024799	20	24	3	17	20	22	3	17
GRMZM2G024806	209	116	94	191	197	111	90	183
GRMZM2G024808	1	0	1	0	1	0	1	0
GRMZM2G024811	1910	974	1172	2204	1819	929	1122	2112
GRMZM2G024838	186	32	120	91	178	31	114	89
GRMZM2G024865	54	33	36	41	50	32	36	40
GRMZM2G024927	39	1	11	1	38	1	11	1
GRMZM2G024933	909	602	396	613	874	579	382	583
GRMZM2G024948	1	0	0	0	1	0	0	0
GRMZM2G024973	281	321	131	536	268	312	126	516
GRMZM2G024976	3	11	6	3	3	10	6	2
GRMZM2G024992	41	95	27	132	40	93	25	130
GRMZM2G024993	47662	21144	25690	42068	49191	21854	26138	43125
GRMZM2G024996	54	1	0	21	54	1	0	20
GRMZM2G025024	79	33	47	101	76	32	47	99
GRMZM2G025037	5	15	8	4	5	13	8	4
GRMZM2G025054	544	198	256	309	510	185	243	298
GRMZM2G025059	1274	1030	778	1830	1210	989	753	1764
GRMZM2G025072	28	18	19	17	28	18	18	16
GRMZM2G025078	942	333	569	674	892	306	538	642
GRMZM2G025095	3	103	95	2	3	97	92	2
GRMZM2G025109	6	1	4	1	5	1	4	1
GRMZM2G025123	26	24	15	32	24	24	15	30
GRMZM2G025127	106	40	54	85	102	39	51	83
GRMZM2G025154	102	30	118	108	96	29	113	102
GRMZM2G025157	24	14	3	23	22	14	3	21
GRMZM2G025164	70	29	30	67	67	28	29	61
GRMZM2G025171	1	0	0	0	0	0	0	0
GRMZM2G025190	18	11	49	36	16	11	46	35
GRMZM2G025227	7	3	6	13	7	3	6	13
GRMZM2G025236	78	87	46	155	76	82	45	149
GRMZM2G025240	1	0	1	0	1	0	1	0
GRMZM2G025242	756	848	519	2582	724	805	491	2477
GRMZM2G025243	129	40	51	48	122	37	48	47
GRMZM2G025248	789	429	412	927	744	413	392	892
GRMZM2G025250	0	3	3	7	0	3	2	7
GRMZM2G025255	36	23	20	56	35	23	19	55
GRMZM2G025303	1	0	0	2	1	0	0	2
GRMZM2G025322	273	183	168	308	249	175	162	300
GRMZM2G025356	684	143	435	347	643	140	412	328
GRMZM2G025366	69	41	42	74	68	39	40	71
GRMZM2G025370	0	3	0	6	0	3	0	6
GRMZM2G025404	0	1	1	6	0	1	1	5
GRMZM2G025409	84	45	42	71	80	42	40	63
GRMZM2G025429	114	47	66	115	105	45	60	109
GRMZM2G025451	256	105	176	302	244	101	169	280
GRMZM2G025458	14	0	8	0	14	0	8	0
GRMZM2G025459	8	0	5	13	7	0	5	13
GRMZM2G025470	38	14	31	45	34	14	29	42
GRMZM2G025477	1	0	1	8	1	0	0	8
GRMZM2G025488	681	295	331	596	641	285	316	570
GRMZM2G025518	65	40	23	95	60	39	23	90
GRMZM2G025528	10	1	10	0	10	1	10	0
GRMZM2G025531	248	100	143	125	236	96	135	119
GRMZM2G025536	5	8	8	14	4	8	8	13
GRMZM2G025552	103	22	51	32	99	20	50	32
GRMZM2G025592	934	461	878	1582	888	431	847	1498
GRMZM2G025598	376	191	185	348	361	182	180	338
GRMZM2G025646	2993	1049	1806	2380	2866	1001	1730	2305
GRMZM2G025649	22	0	0	10	22	0	0	10
GRMZM2G025659	2	0	4	4	2	0	3	4
GRMZM2G025671	72	27	51	55	70	26	50	55
GRMZM2G025685	2	0	0	0	2	0	0	0
GRMZM2G025703	84	595	443	127	79	569	422	123
GRMZM2G025783	567	379	390	1076	541	359	374	1028
GRMZM2G025806	6	1	2	3	5	1	2	3
GRMZM2G025812	949	687	486	1029	898	651	458	983
GRMZM2G025817	0	6	0	21	0	6	0	20
GRMZM2G025832	3	0	0	1	3	0	0	1
GRMZM2G025833	1	0	0	0	1	0	0	0
GRMZM2G025854	245	243	191	333	231	227	182	319
GRMZM2G025855	828	426	376	719	793	411	356	693
GRMZM2G025860	20	44	9	45	19	43	9	43
GRMZM2G025867	1815	672	910	1352	1741	639	876	1296
GRMZM2G025875	1	0	0	0	1	0	0	0
GRMZM2G025939	37	36	15	52	37	34	14	51
GRMZM2G025959	1346	137	287	75	1285	129	266	72
GRMZM2G025977	571	151	217	252	549	147	215	237
GRMZM2G026013	473	259	216	442	459	243	209	428
GRMZM2G026020	53	78	32	134	49	76	32	122
GRMZM2G026050	166	24	61	45	158	23	59	43
GRMZM2G026065	488	227	312	718	461	219	297	695
GRMZM2G026117	346	130	198	255	334	127	189	245
GRMZM2G026143	3	0	1	0	3	0	1	0
GRMZM2G026147	783	133	423	462	747	126	406	442
GRMZM2G026151	1	0	1	3	1	0	1	3
GRMZM2G026176	1	3	0	0	1	3	0	0
GRMZM2G026182	1	1	2	0	1	1	2	0
GRMZM2G026188	6	11	2	10	6	11	2	9
GRMZM2G026216	8960	3865	4354	7204	8527	3656	4172	6891
GRMZM2G026218	771	242	381	664	721	230	369	636
GRMZM2G026231	918	266	465	561	882	258	453	542
GRMZM2G026301	10	532	866	138	9	511	830	137
GRMZM2G026309	340	187	219	386	327	177	212	376
GRMZM2G026322	1	0	2	0	1	0	1	0
GRMZM2G026391	63	15	35	67	63	15	35	66
GRMZM2G026417	263	197	128	388	257	186	128	377
GRMZM2G026442	481	311	250	527	466	294	239	507
GRMZM2G026447	7	10	2	20	6	10	2	20
GRMZM2G026459	0	5	0	2	0	5	0	2
GRMZM2G026470	64	11	33	6	62	11	33	6
GRMZM2G026490	587	292	283	629	549	277	272	608
GRMZM2G026523	46	2	3	20	46	2	2	20
GRMZM2G026532	6	0	7	1	6	0	7	1
GRMZM2G026580	9	4	7	14	9	4	6	13
GRMZM2G026614	151	45	58	35	141	45	54	33
GRMZM2G026643	10	5	5	14	10	4	5	14
GRMZM2G026654	22	34	27	69	19	33	26	68
GRMZM2G026672	70	17	25	28	67	17	24	27
GRMZM2G026703	6	60	0	12	6	57	0	12
GRMZM2G026742	73	14	39	29	70	14	39	28
GRMZM2G026746	1	1	3	1	1	1	3	1
GRMZM2G026767	116	52	70	160	110	50	69	155
GRMZM2G026780	1392	947	758	1743	1337	907	718	1673
GRMZM2G026783	4	1	2	5	3	1	2	5
GRMZM2G026802	23	16	17	36	22	15	17	36
GRMZM2G026807	544	267	254	472	523	260	249	454
GRMZM2G026868	1045	301	524	457	985	290	494	437
GRMZM2G026869	85	39	43	87	82	38	43	84
GRMZM2G026881	209	46	81	113	198	43	77	108
GRMZM2G026892	40	3	6	10	38	3	6	10
GRMZM2G026900	89	38	64	98	83	35	62	93
GRMZM2G026918	12	5	12	25	12	4	11	24
GRMZM2G026922	106	13	45	23	98	12	43	23
GRMZM2G026927	179	264	286	196	173	253	278	193
GRMZM2G026930	72	0	0	6	69	0	0	5
GRMZM2G026939	6258	5103	711	11429	5916	5072	694	11232
GRMZM2G026956	550	445	819	1981	533	423	786	1907
GRMZM2G026962	66	23	38	98	62	23	37	93
GRMZM2G026980	8	2	3	10	8	2	1	10
GRMZM2G026983	119	30	68	60	113	29	67	55
GRMZM2G026991	2947	731	1933	2245	2826	701	1858	2169
GRMZM2G027007	332	166	252	435	315	158	245	417
GRMZM2G027023	492	164	239	353	462	154	229	334
GRMZM2G027043	210	35	137	54	196	34	133	52
GRMZM2G027052	1	0	0	0	1	0	0	0
GRMZM2G027056	3	1	1	0	3	1	1	0
GRMZM2G027059	411	171	300	313	394	165	285	303
GRMZM2G027068	2	0	1	0	2	0	1	0
GRMZM2G027098	2	0	0	1	2	0	0	1
GRMZM2G027115	179	96	115	167	173	92	109	162
GRMZM2G027120	33	7	21	18	32	6	20	15
GRMZM2G027131	27	31	18	63	26	30	18	57
GRMZM2G027135	59	37	23	58	55	37	23	57
GRMZM2G027166	153	99	82	157	147	99	79	153
GRMZM2G027173	18	24	12	28	17	24	11	28
GRMZM2G027183	191	64	109	127	185	61	103	122
GRMZM2G027198	1	2	1	6	1	1	1	6
GRMZM2G027209	139	83	100	145	133	79	100	141
GRMZM2G027232	788	243	427	513	748	228	396	497
GRMZM2G027241	75	55	27	109	72	54	27	106
GRMZM2G027272	13	16	13	27	12	13	13	27
GRMZM2G027282	300	171	188	379	284	162	182	366
GRMZM2G027298	3	5	2	16	3	5	2	15
GRMZM2G027331	371	193	270	476	355	190	261	462
GRMZM2G027333	9	0	0	0	7	0	0	0
GRMZM2G027375	3	13	2	53	3	13	2	53
GRMZM2G027378	772	88	458	240	732	84	442	223
GRMZM2G027392	3972	97	2018	312	3788	95	1935	300
GRMZM2G027437	5	101	39	172	5	94	39	160
GRMZM2G027439	35	20	20	30	34	19	20	30
GRMZM2G027451	29	19	15	37	29	18	14	37
GRMZM2G027472	7	3	42	72	6	3	41	72
GRMZM2G027495	0	1	0	0	0	1	0	0
GRMZM2G027499	5	6	4	19	4	6	4	19
GRMZM2G027522	0	3	0	3	0	2	0	3
GRMZM2G027535	220	136	140	280	208	129	134	265
GRMZM2G027563	7	2	1	2	7	2	1	1
GRMZM2G027571	33	15	17	17	30	15	16	16
GRMZM2G027603	28	18	23	27	28	16	22	26
GRMZM2G027627	116	80	63	68	109	77	60	64
GRMZM2G027632	253	127	88	172	246	122	82	165
GRMZM2G027640	169	61	70	111	167	60	68	109
GRMZM2G027663	278	62	358	42	271	61	340	39
GRMZM2G027665	1	1	0	2	1	1	0	2
GRMZM2G027688	1	0	0	1	1	0	0	1
GRMZM2G027695	14	0	4	2	12	0	4	2
GRMZM2G027723	61	25	66	86	59	23	62	83
GRMZM2G027726	98	13	62	17	93	12	61	17
GRMZM2G027728	489	18	278	38	463	18	263	37
GRMZM2G027737	179	102	100	180	164	94	95	174
GRMZM2G027750	10	90	54	12	10	83	52	12
GRMZM2G027756	498	301	313	452	480	285	299	442
GRMZM2G027794	10	3	14	8	8	2	13	8
GRMZM2G027821	922	262	438	469	883	249	419	446
GRMZM2G027825	174	64	69	57	169	64	64	55
GRMZM2G027835	252	187	131	334	241	176	127	316
GRMZM2G027847	1	0	1	0	1	0	1	0
GRMZM2G027856	236	51	126	117	225	48	119	114
GRMZM2G027857	187	122	144	212	177	118	139	206
GRMZM2G027860	276	164	191	341	264	162	179	325
GRMZM2G027875	2955	2430	2928	4610	2825	2344	2814	4441
GRMZM2G027891	9	3	7	14	9	3	7	12
GRMZM2G027914	2	1	3	6	2	1	3	6
GRMZM2G027932	835	437	497	1078	799	422	472	1032
GRMZM2G027955	1962	792	714	1136	1868	752	689	1083
GRMZM2G027958	2	2	2	3	1	2	2	3
GRMZM2G027960	5	7	1	4	5	7	1	4
GRMZM2G027972	28	3	3	12	27	3	3	11
GRMZM2G027976	7	0	0	1	7	0	0	1
GRMZM2G027991	526	325	296	584	500	312	292	567
GRMZM2G027995	10930	4727	6505	12182	10446	4530	6254	11717
GRMZM2G028005	305	63	133	102	291	62	125	98
GRMZM2G028007	64	38	53	56	60	36	49	52
GRMZM2G028010	1	0	0	0	1	0	0	0
GRMZM2G028014	3	5	2	20	3	4	2	19
GRMZM2G028036	113	18	75	74	108	18	72	71
GRMZM2G028037	8	60	70	1	8	56	69	1
GRMZM2G028039	159	200	84	296	149	190	76	283
GRMZM2G028041	1	4	0	1	0	4	0	1
GRMZM2G028054	74	89	115	79	67	85	111	77
GRMZM2G028096	490	191	288	181	468	179	277	172
GRMZM2G028108	10	3	6	3	8	3	5	3
GRMZM2G028110	3	10	0	5	3	10	0	5
GRMZM2G028114	1	2	1	4	1	2	1	4
GRMZM2G028129	2	1	2	52	2	1	2	49
GRMZM2G028136	361	169	238	382	342	165	233	370
GRMZM2G028139	810	704	409	1422	778	667	390	1353
GRMZM2G028159	13	6	19	6	13	6	19	5
GRMZM2G028183	525	161	293	392	496	149	280	378
GRMZM2G028188	1	0	0	1	1	0	0	1
GRMZM2G028218	46	112	59	230	44	105	54	221
GRMZM2G028234	23	20	19	43	23	20	18	39
GRMZM2G028247	0	3	0	2	0	3	0	2
GRMZM2G028258	279	258	145	507	267	251	140	490
GRMZM2G028286	2483	706	1804	1279	2365	666	1739	1229
GRMZM2G028302	2	0	1	0	1	0	1	0
GRMZM2G028307	1695	317	561	277	1612	309	538	269
GRMZM2G028335	90	53	73	127	87	49	69	124
GRMZM2G028353	482	103	273	291	457	99	264	274
GRMZM2G028366	6	2659	5231	5	6	2533	4999	5
GRMZM2G028379	2396	1368	1730	2925	2290	1322	1662	2842
GRMZM2G028386	12	2	24	85	12	1	24	84
GRMZM2G028413	15	3	3	5	15	2	3	5
GRMZM2G028432	885	372	647	589	845	356	616	566
GRMZM2G028438	0	2	1	1	0	2	1	1
GRMZM2G028452	0	144	0	201	0	141	0	195
GRMZM2G028467	31	20	10	36	29	20	10	34
GRMZM2G028500	1352	626	771	1323	1296	587	745	1259
GRMZM2G028501	69	34	46	92	69	33	45	86
GRMZM2G028516	29	9	20	15	28	9	20	14
GRMZM2G028521	87	22	89	43	80	21	87	39
GRMZM2G028535	1	0	3	13	0	0	3	12
GRMZM2G028552	0	5	0	5	0	5	0	4
GRMZM2G028605	5	0	1	1	5	0	1	1
GRMZM2G028608	5	4	6	16	5	4	5	16
GRMZM2G028637	82	38	111	139	79	36	107	135
GRMZM2G028640	281	250	141	477	269	243	133	459
GRMZM2G028648	25	2	7	11	23	2	7	11
GRMZM2G028665	4	3	1	4	4	3	1	4
GRMZM2G028676	146	85	148	81	140	82	141	73
GRMZM2G028700	798	329	423	607	759	311	408	582
GRMZM2G028709	1	0	2	0	1	0	2	0
GRMZM2G028718	121	98	73	165	116	95	66	159
GRMZM2G028721	29	22	19	56	27	22	17	55
GRMZM2G028726	2	1	0	2	2	1	0	2
GRMZM2G028733	47	79	31	116	47	78	28	112
GRMZM2G028758	9	11	7	31	8	11	7	31
GRMZM2G028766	114	80	88	157	107	76	84	150
GRMZM2G028774	118	104	43	205	115	98	43	198
GRMZM2G028796	67	14	48	31	65	14	46	28
GRMZM2G028813	366	425	207	876	354	406	196	841
GRMZM2G028821	0	1	0	1	0	1	0	1
GRMZM2G028834	270	142	180	258	257	135	173	245
GRMZM2G028852	25	29	19	58	23	27	19	57
GRMZM2G028855	77	4	38	7	72	4	36	6
GRMZM2G028883	512	362	298	722	486	347	287	699
GRMZM2G028885	8	0	4	0	8	0	3	0
GRMZM2G028887	730	411	347	662	701	387	339	641
GRMZM2G028889	20	13	19	20	19	13	17	20
GRMZM2G028900	1692	607	949	1302	1623	576	907	1238
GRMZM2G028914	7	7	5	4	7	7	5	3
GRMZM2G028921	76	46	52	71	74	45	49	70
GRMZM2G028926	7	3	7	5	7	3	7	5
GRMZM2G028929	1923	745	920	1434	1842	721	884	1385
GRMZM2G028955	22	9	14	32	20	8	13	30
GRMZM2G029000	2	0	3	0	2	0	3	0
GRMZM2G029001	499	295	313	558	485	287	303	542
GRMZM2G029027	411	220	267	461	394	215	260	445
GRMZM2G029029	2735	714	1587	1923	2616	690	1529	1844
GRMZM2G029038	0	1	0	3	0	1	0	3
GRMZM2G029039	52	29	42	108	49	26	42	106
GRMZM2G029048	144	64	102	173	135	61	99	164
GRMZM2G029055	153	61	76	110	148	60	70	107
GRMZM2G029058	91	119	77	91	89	112	75	89
GRMZM2G029065	6	4	11	18	6	4	10	17
GRMZM2G029082	135	208	86	319	128	199	83	305
GRMZM2G029087	2135	705	888	1136	2012	670	839	1098
GRMZM2G029101	11	5	6	12	11	5	6	11
GRMZM2G029113	366	328	244	814	349	310	238	772
GRMZM2G029135	730	303	414	607	696	288	402	577
GRMZM2G029186	3632	1618	2056	3341	3478	1525	1989	3221
GRMZM2G029194	968	314	578	695	917	297	551	659
GRMZM2G029219	8	2	21	10	8	2	18	10
GRMZM2G029223	35	13	37	38	34	13	34	34
GRMZM2G029242	59	43	37	78	56	39	36	77
GRMZM2G029243	33	74	14	215	32	72	13	205
GRMZM2G029262	2563	399	1219	807	2436	374	1158	770
GRMZM2G029270	1	1	2	4	1	1	2	4
GRMZM2G029307	111	43	44	75	107	41	42	72
GRMZM2G029314	12	6	17	30	11	6	17	30
GRMZM2G029323	41	27	25	65	41	25	23	61
GRMZM2G029356	99	0	96	2	93	0	92	2
GRMZM2G029370	719	281	317	533	689	274	305	514
GRMZM2G029385	83	65	71	247	76	62	63	238
GRMZM2G029396	273	37	144	48	265	34	142	47
GRMZM2G029455	10	1	12	5	10	1	11	5
GRMZM2G029478	584	180	359	500	560	172	348	483
GRMZM2G029496	0	9	0	11	0	9	0	10
GRMZM2G029506	1	0	0	3	1	0	0	3
GRMZM2G029527	31	8	16	31	31	8	16	29
GRMZM2G029530	388	250	164	352	363	234	150	328
GRMZM2G029531	6	5	6	9	6	5	6	9
GRMZM2G029536	15	10	20	23	14	10	20	23
GRMZM2G029543	935	453	541	965	891	426	519	919
GRMZM2G029546	2	3	6	11	2	2	5	11
GRMZM2G029547	4	3	2	8	3	3	2	8
GRMZM2G029552	5	4	2	7	5	3	2	7
GRMZM2G029559	4715	2271	2864	4913	4507	2187	2758	4732
GRMZM2G029566	744	1464	451	2377	704	1379	440	2277
GRMZM2G029573	184	58	72	88	177	57	68	84
GRMZM2G029583	3311	1002	2058	2346	3150	950	1943	2241
GRMZM2G029587	34	10	18	26	30	10	17	25
GRMZM2G029692	12	19	3	38	11	19	3	37
GRMZM2G029713	47	24	9	47	46	23	9	42
GRMZM2G029722	1	0	2	0	1	0	1	0
GRMZM2G029731	96	97	38	106	91	91	36	98
GRMZM2G029783	41	26	18	16	36	25	18	15
GRMZM2G029785	181	84	106	203	175	79	102	199
GRMZM2G029810	87	0	45	1	85	0	44	1
GRMZM2G029815	6	7	5	13	6	7	5	13
GRMZM2G029824	26	3	13	15	24	3	13	15
GRMZM2G029833	92	1	47	2	88	1	43	2
GRMZM2G029845	701	408	323	645	669	382	311	619
GRMZM2G029850	3	10	1	9	3	8	1	9
GRMZM2G029856	565	165	251	427	533	157	241	408
GRMZM2G029863	16	361	5	743	16	345	4	711
GRMZM2G029868	72	30	22	14	69	29	21	14
GRMZM2G029879	15	6	7	3	15	6	7	3
GRMZM2G029912	203	91	67	91	192	85	65	89
GRMZM2G029922	21	7	4	18	20	6	4	17
GRMZM2G029933	159	97	88	208	153	93	82	201
GRMZM2G029974	15	5	12	8	13	5	12	7
GRMZM2G030013	29	2	14	6	28	2	12	6
GRMZM2G030016	5920	3880	3186	9475	5619	3677	3032	9104
GRMZM2G030036	1	0	0	0	1	0	0	0
GRMZM2G030072	74	22	33	92	74	21	33	88
GRMZM2G030080	14	12	4	25	13	11	4	22
GRMZM2G030099	214	149	49	103	204	143	47	100
GRMZM2G030106	0	1	0	0	0	1	0	0
GRMZM2G030116	10	3	3	5	9	3	3	5
GRMZM2G030122	1	1	3	5	1	1	3	5
GRMZM2G030123	213	202	94	211	208	193	91	200
GRMZM2G030125	71	26	33	54	70	25	33	52
GRMZM2G030128	18	14	16	36	18	14	16	36
GRMZM2G030138	207	27	89	38	199	26	85	36
GRMZM2G030139	10	4	6	2	10	4	6	2
GRMZM2G030144	502	231	323	535	476	220	313	513
GRMZM2G030148	24	6	10	21	22	6	10	21
GRMZM2G030165	32	16	26	28	30	15	24	27
GRMZM2G030169	605	361	413	642	581	351	398	612
GRMZM2G030173	23	9	21	23	22	9	21	23
GRMZM2G030181	3	0	2	10	3	0	1	9
GRMZM2G030216	5	0	5	0	4	0	5	0
GRMZM2G030223	7	2	3	6	7	2	3	6
GRMZM2G030235	43	25	22	39	40	22	21	36
GRMZM2G030240	73	11	17	4	68	10	15	3
GRMZM2G030259	0	1	0	1	0	1	0	1
GRMZM2G030263	0	1	0	1	0	1	0	1
GRMZM2G030265	25	34	9	49	24	34	8	48
GRMZM2G030272	1	0	2	0	1	0	2	0
GRMZM2G030275	1002	655	451	1136	963	623	421	1087
GRMZM2G030280	17	8	8	18	15	8	8	18
GRMZM2G030293	863	460	427	791	818	443	411	758
GRMZM2G030299	130	34	56	68	124	33	52	64
GRMZM2G030305	92	54	81	140	87	51	77	129
GRMZM2G030312	137	199	98	379	135	192	94	368
GRMZM2G030350	62	127	55	410	60	119	51	395
GRMZM2G030384	58	30	29	28	56	30	29	27
GRMZM2G030402	584	97	316	193	556	94	296	189
GRMZM2G030403	4	0	38	6	4	0	37	6
GRMZM2G030408	711	324	329	598	684	308	313	574
GRMZM2G030436	134	2	18	4	130	2	17	4
GRMZM2G030463	1337	491	624	1045	1269	460	602	1001
GRMZM2G030465	26	13	15	41	25	12	15	40
GRMZM2G030494	40	20	6	15	38	18	6	15
GRMZM2G030523	935	299	874	1222	894	285	835	1175
GRMZM2G030529	38	58	55	24	38	55	54	24
GRMZM2G030542	189	82	124	185	180	75	120	172
GRMZM2G030567	1	0	0	0	1	0	0	0
GRMZM2G030571	1	0	2	8	1	0	2	8
GRMZM2G030578	3548	997	2125	2411	3356	951	2033	2301
GRMZM2G030594	96	33	52	86	91	33	48	82
GRMZM2G030596	1652	1005	1344	2091	1556	960	1307	2004
GRMZM2G030606	267	121	115	253	258	117	111	241
GRMZM2G030628	3	0	2	0	2	0	2	0
GRMZM2G030636	1	0	0	0	1	0	0	0
GRMZM2G030646	0	425	0	404	0	415	0	393
GRMZM2G030673	14	13	20	40	13	12	19	40
GRMZM2G030688	17	11	10	27	16	11	10	25
GRMZM2G030717	2532	1305	498	1243	2411	1250	468	1192
GRMZM2G030731	6888	2668	3482	5380	6739	2570	3360	5206
GRMZM2G030744	32	9	20	23	30	9	19	23
GRMZM2G030762	102	49	56	89	98	47	56	86
GRMZM2G030768	174	67	142	153	166	66	136	151
GRMZM2G030794	26	13	15	22	25	13	15	22
GRMZM2G030805	834	424	506	856	795	408	485	825
GRMZM2G030809	34	31	16	73	33	30	14	73
GRMZM2G030823	159	50	70	85	151	50	68	84
GRMZM2G030831	26	15	25	56	25	14	22	54
GRMZM2G030839	397	214	177	290	375	203	165	277
GRMZM2G030858	3138	2324	2384	5097	3001	2218	2286	4905
GRMZM2G030862	0	1	0	0	0	1	0	0
GRMZM2G030873	91	11	41	21	86	10	40	20
GRMZM2G030880	18	11	32	13	17	11	30	13
GRMZM2G030882	2	0	3	5	2	0	3	5
GRMZM2G030902	932	407	385	724	899	392	369	696
GRMZM2G030915	1	0	0	2	1	0	0	2
GRMZM2G030955	73	65	41	108	70	62	41	105
GRMZM2G031001	104	36	60	76	100	34	59	76
GRMZM2G031022	436	305	211	492	405	293	200	462
GRMZM2G031028	7	88	5	136	7	82	5	133
GRMZM2G031033	20	7	10	0	19	7	8	0
GRMZM2G031043	86	56	95	136	84	55	90	131
GRMZM2G031053	676	387	407	1138	644	366	391	1089
GRMZM2G031057	140	19	50	38	138	19	50	36
GRMZM2G031062	1	0	0	0	1	0	0	0
GRMZM2G031065	51	30	23	57	48	29	21	55
GRMZM2G031107	464	215	288	408	446	200	277	391
GRMZM2G031125	13	7	10	18	13	7	10	16
GRMZM2G031138	58	53	47	38	53	50	46	37
GRMZM2G031156	13	6	8	17	13	6	7	16
GRMZM2G031169	15	2	4	6	15	2	4	6
GRMZM2G031200	279	55	60	42	268	51	53	36
GRMZM2G031204	4	247	0	561	2	236	0	542
GRMZM2G031210	296	234	141	386	283	226	132	373
GRMZM2G031239	178	173	78	208	174	168	76	203
GRMZM2G031257	21	1	9	2	18	1	9	2
GRMZM2G031278	5	4	2	11	4	4	2	11
GRMZM2G031280	21	4	23	5	20	4	21	4
GRMZM2G031311	0	1	0	0	0	1	0	0
GRMZM2G031317	1	0	1	0	1	0	0	0
GRMZM2G031326	625	396	297	734	594	382	289	710
GRMZM2G031352	1175	479	656	1066	1124	459	631	1025
GRMZM2G031354	21	0	0	0	19	0	0	0
GRMZM2G031370	36	8	13	26	35	8	13	26
GRMZM2G031398	534	232	263	356	518	217	250	344
GRMZM2G031420	210	158	104	228	202	153	98	217
GRMZM2G031435	442	190	270	514	419	176	258	490
GRMZM2G031447	6	1	1	7	6	1	1	6
GRMZM2G031496	2894	1113	1464	2015	2755	1055	1400	1927
GRMZM2G031501	952	251	811	575	898	239	771	549
GRMZM2G031523	39	26	13	36	34	25	13	36
GRMZM2G031529	781	538	580	1453	744	520	556	1387
GRMZM2G031536	60	0	19	0	57	0	16	0
GRMZM2G031545	32012	15867	15178	28215	32202	15930	15203	28172
GRMZM2G031568	53	20	20	30	52	20	20	28
GRMZM2G031572	592	852	396	569	559	809	389	541
GRMZM2G031580	39	61	25	150	32	58	25	146
GRMZM2G031586	10272	4630	4989	7396	9772	4411	4796	7132
GRMZM2G031588	119	15	73	56	113	13	68	54
GRMZM2G031591	77	296	250	174	75	288	238	170
GRMZM2G031607	62	68	104	159	61	64	100	155
GRMZM2G031613	3104	2216	1222	3405	2948	2120	1174	3277
GRMZM2G031620	208	71	57	97	198	67	57	96
GRMZM2G031624	1	0	0	0	1	0	0	0
GRMZM2G031628	27	303	11	486	26	290	11	470
GRMZM2G031637	37	10	43	61	34	10	39	60
GRMZM2G031656	9	8	5	21	9	8	5	21
GRMZM2G031660	2302	1722	1057	2843	2188	1644	1015	2738
GRMZM2G031677	1	0	0	0	1	0	0	0
GRMZM2G031718	228	89	155	173	213	88	145	165
GRMZM2G031721	2	6	0	9	2	6	0	8
GRMZM2G031724	9	2	4	10	8	1	4	10
GRMZM2G031780	191	78	91	186	181	75	84	183
GRMZM2G031788	10	0	0	2	9	0	0	2
GRMZM2G031824	219	81	118	167	215	76	110	154
GRMZM2G031825	362	168	231	218	340	160	221	207
GRMZM2G031837	342	271	135	479	326	261	129	457
GRMZM2G031846	177	82	108	158	167	76	105	150
GRMZM2G031882	13	0	8	4	13	0	6	3
GRMZM2G031893	69	134	160	51	66	125	156	48
GRMZM2G031904	701	223	141	147	675	217	138	142
GRMZM2G031909	0	209	0	777	0	201	0	732
GRMZM2G031917	481	2	250	4	458	2	239	3
GRMZM2G031925	73	18	58	71	67	18	57	70
GRMZM2G031930	57	37	57	89	54	36	51	84
GRMZM2G031941	44	37	21	69	43	34	20	66
GRMZM2G031952	79	14	46	51	76	14	45	49
GRMZM2G031954	42	22	12	24	41	17	12	21
GRMZM2G031963	2	3	0	12	2	3	0	11
GRMZM2G031981	129	33	46	48	125	32	40	46
GRMZM2G032003	21096	10848	13296	26848	20252	10488	12839	26165
GRMZM2G032047	471	82	280	252	446	79	266	238
GRMZM2G032049	1396	298	945	596	1332	288	911	573
GRMZM2G032071	752	366	461	971	712	355	436	934
GRMZM2G032104	67	27	25	29	66	25	24	29
GRMZM2G032107	300	79	192	215	287	74	182	207
GRMZM2G032145	1241	297	4144	2513	1171	286	3961	2432
GRMZM2G032154	25	20	18	29	25	20	17	29
GRMZM2G032160	125	44	50	96	117	44	47	92
GRMZM2G032163	345	323	403	316	332	305	383	299
GRMZM2G032182	144	115	107	168	135	107	103	163
GRMZM2G032190	210	121	122	220	193	115	117	205
GRMZM2G032218	46	162	35	524	45	157	33	505
GRMZM2G032219	24	8	16	25	24	8	16	25
GRMZM2G032222	222	248	105	353	209	232	98	340
GRMZM2G032244	14	0	0	0	14	0	0	0
GRMZM2G032252	1969	468	1267	1334	1881	442	1217	1292
GRMZM2G032258	558	227	194	446	531	220	191	434
GRMZM2G032260	551	350	504	238	518	334	486	222
GRMZM2G032266	395	135	125	80	373	130	116	75
GRMZM2G032282	29	14	18	30	26	13	17	29
