Gene	mat_SRR364453	pat_SRR364453	pat_SRR364454	mat_SRR364454	mat_SRR415002	pat_SRR415002	pat_SRR415003	mat_SRR415003
AC192362.3_FG003	12	42	8	77	12	41	8	71
AC192451.3_FG001	885	682	344	1170	835	651	327	1127
AC192608.3_FG004	0	2	0	3	0	2	0	3
AC193402.3_FG004	2	0	3	0	2	0	3	0
AC193754.3_FG008	1	1	6	3	1	1	6	3
AC193787.3_FG008	24	9	0	7	24	8	0	7
AC194022.3_FG013	30	19	18	20	28	19	18	17
AC194056.3_FG008	2	0	0	4	2	0	0	4
AC194072.3_FG005	0	4	0	1	0	3	0	1
AC194097.3_FG009	0	5	0	10	0	5	0	10
AC194214.3_FG002	5	0	0	0	5	0	0	0
AC194264.3_FG006	40	15	28	43	37	15	27	40
AC194341.4_FG004	31	8	15	20	31	8	15	18
AC194355.3_FG002	1	1	1	9	1	1	1	8
AC194356.3_FG002	2	0	0	0	2	0	0	0
AC194402.2_FG004	2	2	6	3	2	2	6	3
AC194405.3_FG021	1	4	9	11	1	4	8	10
AC194425.3_FG005	5	4	3	2	5	4	3	2
AC194428.3_FG007	1	0	0	0	1	0	0	0
AC194591.2_FG005	0	27	0	37	0	26	0	35
AC194609.2_FG003	1	0	0	1	0	0	0	1
AC194719.3_FG002	1	0	0	0	1	0	0	0
AC194914.3_FG002	42	28	13	50	41	28	12	47
AC194942.3_FG001	0	3	0	8	0	3	0	7
AC194970.5_FG002	117	60	74	68	112	58	71	67
AC194972.2_FG001	0	1	0	0	0	1	0	0
AC195154.3_FG004	2	0	0	5	2	0	0	4
AC195172.3_FG001	12	2	22	0	12	2	22	0
AC195331.3_FG008	9	3	4	3	8	3	4	3
AC195340.3_FG001	21896	11752	10176	21884	21476	11569	9894	21334
AC195340.3_FG002	1240	595	562	1144	1177	563	544	1106
AC195340.3_FG004	1500	678	963	1367	1428	654	918	1301
AC195340.3_FG005	0	4	0	4	0	4	0	4
AC195351.3_FG003	4	0	1	1	4	0	1	1
AC195587.4_FG003	0	1	0	0	0	1	0	0
AC195587.4_FG004	5	7	2	13	5	6	2	13
AC195785.3_FG004	5	12	4	26	4	11	4	26
AC195860.3_FG005	13	5	10	16	13	5	10	15
AC195860.3_FG006	1793	1225	1023	2941	1708	1182	978	2820
AC195874.2_FG002	379	138	167	233	365	136	163	226
AC195957.3_FG003	2	0	1	1	2	0	1	0
AC195980.2_FG004	1	0	0	0	1	0	0	0
AC196059.3_FG003	34	21	23	44	34	20	22	44
AC196066.3_FG003	103	60	52	140	97	54	50	136
