Gene	mat_SRR396678	pat_SRR396678	pat_SRR396679	mat_SRR396679
AC198481.3_FG004	8	11	4	7
AC198700.2_FG004	4	5	0	0
AC198725.4_FG007	60	37	7	17
AC198752.4_FG004	0	1	0	0
AC198871.3_FG002	1	0	0	0
AC198901.4_FG004	10	1	0	2
AC199001.3_FG005	119	68	63	103
AC199039.3_FG003	2	1	1	3
AC199058.2_FG001	2	1	0	1
AC199068.2_FG017	78	1	20	0
AC199204.3_FG002	2	0	0	0
AC199363.4_FG003	20	9	9	4
AC199370.4_FG006	1	0	0	0
AC199382.3_FG005	1	0	1	0
AC199384.3_FG002	1	0	0	0
AC199526.5_FG002	447	216	262	441
AC199526.5_FG003	169	1	3	4
AC199571.3_FG003	0	3	0	2
AC199782.5_FG001	113	53	47	87
AC199782.5_FG002	36	30	22	27
AC199782.5_FG003	9	5	2	7
AC199820.4_FG006	23	12	10	14
AC199826.4_FG003	7	2	0	7
AC200069.4_FG002	85	24	2	3
AC200210.1_FG006	6	5	6	12
AC202011.3_FG010	3	0	1	0
AC202069.3_FG002	1	0	0	0
AC202073.4_FG001	23	9	4	5
AC202144.5_FG001	2	0	2	0
AC202435.3_FG001	1	0	0	0
AC202439.3_FG001	0	1	0	0
AC202707.3_FG002	287	34	19	10
AC202864.3_FG002	16	6	4	3
AC202911.3_FG002	0	1	0	0
AC203173.3_FG004	2836	1565	1179	2477
AC203307.4_FG001	4	0	0	2
AC203365.3_FG007	1	1	0	0
AC203366.4_FG001	11	4	3	1
AC203394.3_FG004	17	3	5	1
AC203424.3_FG001	98	53	22	52
AC203430.3_FG007	1	0	0	0
AC203535.4_FG001	33	26	14	27
AC203535.4_FG002	226	69	267	343
AC203535.4_FG006	4	1	0	0
AC203570.4_FG005	11	0	2	3
AC203754.4_FG008	8	6	4	7
AC203841.3_FG002	12	10	5	10
AC203841.3_FG009	150	78	38	76
AC203972.3_FG001	0	1	0	0
AC203972.3_FG003	1	1	1	0
AC203986.3_FG013	2	0	0	0
AC203989.4_FG001	225	59	121	137
AC204050.4_FG006	13	3	5	1
AC204070.3_FG004	8	2	1	1
AC204292.4_FG002	25	5	4	5
AC204298.3_FG006	2	2	0	1
AC204359.3_FG005	24	3	14	15
AC204472.3_FG002	5	5	1	0
AC204502.4_FG006	1	0	1	0
AC204519.3_FG003	24	0	5	0
AC204530.4_FG006	0	1	0	0
AC204539.4_FG001	0	1	0	1
AC204539.4_FG002	8	0	3	1
AC204711.3_FG002	22	1	1	2
AC204711.3_FG003	2732	2114	2407	5999
AC204717.3_FG005	1	0	0	0
AC204891.4_FG001	26	6	6	15
AC205008.4_FG002	6	1	0	2
AC205057.3_FG002	1	5	4	8
AC205100.3_FG001	0	11	0	7
AC205122.4_FG009	1	0	0	0
AC205122.4_FG010	1	0	0	0
AC205155.3_FG001	0	1	0	0
AC205274.3_FG001	1	0	0	0
AC205320.3_FG004	39	13	12	6
AC205336.3_FG003	2	0	0	0
AC205376.4_FG008	30	21	16	17
AC205419.3_FG001	494	203	136	179
AC205471.4_FG003	3	7	3	20
AC205471.4_FG007	9	3	13	8
AC205471.4_FG008	0	1	0	0
AC205484.3_FG005	0	3	0	0
AC205502.4_FG004	1	0	0	0
AC205521.3_FG003	1074	517	505	724
AC205567.3_FG002	0	1	0	3
AC205574.3_FG006	16	2	4	14
AC205592.3_FG001	3	0	0	1
AC205664.3_FG001	4	0	2	0
AC205673.3_FG006	41	6	14	4
AC205703.4_FG002	676	357	242	553
AC205982.3_FG014	0	1	3	2
AC206031.3_FG007	15	22	0	14
AC206165.3_FG009	1	0	0	0
AC206223.3_FG001	4	2	1	3
AC206223.3_FG006	70	28	20	35
AC206259.3_FG003	18	28	14	35
AC206265.3_FG006	3	0	0	0
AC206764.4_FG001	0	2	0	1
AC206788.3_FG008	152	75	182	227
AC206788.3_FG015	29	2	16	9
AC206901.3_FG005	6	1	1	0
AC206941.2_FG002	34	13	18	24
AC206951.3_FG016	2	0	0	0
AC206951.3_FG017	4	1	1	1
AC207043.3_FG002	1	0	0	0
AC207265.3_FG002	1	1	0	2
AC207342.3_FG007	106	49	48	89
AC207342.3_FG008	3	1	4	2
AC207533.2_FG002	2	1	0	1
