Gene	mat_SRR068962	pat_SRR068962	mat_SRR068963	pat_SRR068963	mat_SRR068964	pat_SRR068964	mat_SRR068968	pat_SRR068968	mat_SRR068969	pat_SRR068969	mat_SRR068970	pat_SRR068970	mat_SRR068971	pat_SRR068971	mat_SRR068972	pat_SRR068972	mat_SRR068973	pat_SRR068973	mat_SRR068974	pat_SRR068974	pat_SRR068984	mat_SRR068984	pat_SRR068985	mat_SRR068985	pat_SRR068986	mat_SRR068986	pat_SRR068987	mat_SRR068987	pat_SRR068988	mat_SRR068988	pat_SRR068989	mat_SRR068989	pat_SRR068990	mat_SRR068990
AT1G01225	1	0	1	1	1	0	1	1	3	2	4	1	7	3	0	0	3	7	1	2	0	7	1	3	2	2	3	5	1	2	5	2	4	3
AT1G01260	9	4	9	0	3	4	10	7	23	8	20	13	36	15	32	14	23	15	25	8	9	24	8	30	13	37	17	54	14	58	16	60	23	59
AT1G01290	2	0	3	1	3	1	7	2	9	6	7	6	13	4	14	2	10	3	10	3	1	7	3	13	4	13	3	13	6	13	2	10	8	13
AT1G01300	8	3	5	0	4	6	38	26	41	24	50	16	40	21	39	19	44	23	44	23	15	47	29	58	17	57	24	68	9	32	16	30	11	46
AT1G01320	2	0	1	0	1	0	14	7	15	14	8	4	11	12	7	5	12	9	10	9	1	10	5	9	1	9	11	28	14	23	13	30	9	23
AT1G01450	2	0	0	0	1	0	5	2	4	1	5	2	3	3	5	3	3	2	3	0	1	4	5	7	5	1	2	2	2	1	1	2	2	3
AT1G01720	5	1	2	0	3	2	92	62	126	66	125	70	94	60	61	47	61	39	66	47	30	88	45	106	46	96	49	213	44	202	36	189	46	229
AT1G01770	0	1	0	1	0	0	0	0	2	1	1	0	4	2	2	1	0	0	6	1	0	0	0	0	0	2	1	2	0	2	2	2	1	2
AT1G01790	4	1	3	1	4	1	5	2	7	10	7	3	10	4	4	6	7	8	13	0	1	4	4	4	1	4	9	11	3	11	5	9	6	13
AT1G01800	1	1	0	0	0	0	0	4	0	2	1	0	1	7	2	3	3	2	1	2	0	0	0	3	0	1	3	10	1	10	5	13	2	10
AT1G02080	7	1	2	3	6	1	0	0	5	0	5	3	10	3	17	7	9	6	10	4	0	3	2	4	1	9	9	21	2	7	10	16	7	17
AT1G02650	0	1	1	0	1	0	0	0	2	0	1	0	2	2	1	2	1	1	3	2	3	2	4	6	7	4	0	3	1	3	2	3	2	2
AT1G02660	3	0	4	0	1	1	71	5	80	12	87	10	91	4	90	6	85	3	82	5	15	31	12	41	21	60	13	284	9	174	14	228	7	229
AT1G02680	6	1	2	0	3	0	42	4	47	8	41	10	102	21	84	11	78	20	79	12	20	21	19	18	20	21	33	19	35	25	31	29	31	28
AT1G02690	2	1	1	2	4	0	10	3	9	4	5	2	3	4	5	2	3	4	3	1	6	2	4	2	5	4	8	12	6	5	7	8	3	9
AT1G02720	5	0	1	4	5	1	73	11	79	13	79	7	261	17	207	26	200	15	215	11	9	119	5	159	3	152	20	241	20	243	16	235	11	278
AT1G02740	1	0	1	0	0	0	0	0	0	0	1	0	3	1	1	0	3	0	3	1	1	0	0	1	1	0	0	1	2	5	0	2	1	6
AT1G02770	8	11	14	12	12	12	33	23	43	19	33	30	46	39	54	23	51	28	34	18	12	44	27	67	21	52	22	89	12	71	11	74	16	87
AT1G02780	98	33	116	33	113	33	812	224	1003	286	1002	287	759	205	604	170	559	175	607	179	332	364	476	474	485	512	458	615	372	574	387	563	396	571
AT1G02790	0	1	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	2	0	0	10	2	20	5	11	4	2	0	0	0	2	0	4	0
AT1G02800	0	1	0	0	1	0	3	0	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	3	2	1	3
AT1G02860	0	3	3	1	2	1	2	4	2	2	1	1	8	1	3	0	2	0	6	0	1	0	0	2	1	1	0	7	1	6	1	5	0	10
AT1G02870	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	2	0	1	0	0	1	0	1	0	2	0	0
AT1G02890	18	13	18	12	21	9	69	25	72	27	81	40	199	58	124	59	166	37	142	51	24	60	44	69	40	90	71	177	50	155	74	150	78	178
AT1G02910	1	0	0	0	1	1	0	0	1	0	0	0	1	2	0	1	3	1	1	0	0	0	0	0	0	2	1	2	1	4	4	1	0	3
AT1G02940	2	0	2	0	0	0	3	2	4	0	1	0	11	0	7	0	6	0	6	0	1	0	0	1	1	1	1	0	1	1	4	0	0	0
AT1G02970	10	1	3	0	5	1	5	1	7	6	11	5	5	0	3	1	4	0	0	0	5	5	3	9	5	7	5	6	9	9	5	9	1	6
AT1G02980	58	26	66	16	76	24	7	6	9	4	14	7	0	0	0	0	1	0	0	0	6	13	14	25	13	26	11	18	12	20	15	28	8	15
AT1G03030	2	0	1	0	3	0	13	2	15	4	22	7	30	1	13	4	16	4	22	2	6	12	10	10	9	9	4	11	8	5	8	12	15	16
AT1G03040	2	1	2	3	3	2	13	6	9	4	4	7	26	11	19	8	16	6	16	5	2	6	6	10	6	7	4	19	9	17	10	23	7	15
AT1G03050	0	1	0	0	0	0	0	1	0	0	0	0	2	2	4	1	1	1	1	1	3	3	2	5	1	4	0	4	0	1	0	0	0	0
AT1G03060	6	5	7	3	8	1	24	9	14	6	26	9	17	6	16	2	5	7	15	5	10	11	8	21	9	20	4	18	2	8	4	8	2	7
AT1G03070	4	1	5	0	9	2	62	9	69	18	76	10	62	8	44	6	45	3	35	8	20	51	26	47	39	44	10	45	5	42	8	32	11	28
AT1G03080	5	0	7	3	7	3	32	24	36	19	36	26	93	43	73	37	76	40	56	34	22	45	21	54	17	55	44	100	41	107	35	85	45	92
AT1G03090	9	1	14	4	5	4	57	25	82	26	68	20	96	20	77	17	91	10	78	15	29	41	36	52	36	42	45	104	26	103	24	89	34	84
AT1G03110	1	1	0	1	1	1	4	0	3	0	3	0	9	5	10	5	11	1	10	4	1	3	1	1	3	0	7	12	7	6	5	7	6	10
AT1G03130	0	1	0	0	0	1	1	3	1	0	2	1	22	18	17	15	27	14	10	15	1	4	1	1	1	2	16	28	12	33	19	48	26	45
AT1G03140	2	1	0	0	3	1	8	6	10	11	15	9	19	14	18	6	15	6	18	5	4	10	4	10	4	8	14	41	8	38	8	42	11	41
AT1G03150	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	5	0	3	0	2	0	1
AT1G03160	1	1	2	2	1	5	7	1	7	5	8	6	20	6	15	4	14	3	15	3	7	5	1	4	6	6	5	11	7	12	4	20	9	7
AT1G03190	1	1	1	1	1	0	0	1	0	1	1	5	5	1	4	2	3	1	1	0	1	4	0	4	1	2	0	14	4	6	4	6	3	9
AT1G03260	0	1	1	1	1	1	0	1	1	3	0	2	1	1	1	0	1	0	1	1	0	1	1	2	0	1	0	2	1	2	1	1	1	1
AT1G04120	11	4	9	0	6	5	11	3	19	6	9	9	44	16	29	19	25	5	24	18	3	12	8	20	7	23	25	44	17	35	18	42	23	50
AT1G04140	6	0	11	7	10	1	7	8	10	4	13	7	16	7	19	4	13	6	10	2	3	5	8	12	3	4	8	21	5	11	8	14	2	26
AT1G04170	2	0	3	0	4	1	4	3	9	0	3	4	16	7	8	4	8	7	7	2	5	1	2	7	3	1	4	14	4	23	5	16	7	15
AT1G04210	1	0	0	0	2	0	2	3	6	0	1	1	3	7	7	7	5	3	8	5	1	0	0	2	0	1	1	9	3	21	2	15	6	20
AT1G04260	8	2	6	1	5	5	14	7	22	11	22	13	4	2	10	3	7	0	5	2	10	15	9	28	12	18	4	6	4	16	7	14	3	20
AT1G04270	7	2	5	4	2	4	17	4	25	15	23	10	34	13	26	13	30	9	29	16	11	16	14	16	13	16	25	37	20	31	23	29	22	30
AT1G04295	1	0	0	0	0	0	0	1	1	2	5	2	8	0	3	1	4	0	4	0	1	3	3	5	5	3	2	3	2	4	1	4	2	4
AT1G04340	1	0	2	0	0	0	0	2	1	1	2	0	0	0	2	0	1	0	3	1	0	1	0	1	1	0	0	1	1	1	0	1	0	2
AT1G04380	30	16	23	10	26	12	118	48	145	74	147	48	166	41	123	40	105	30	124	40	60	87	77	115	72	106	65	79	52	93	70	113	61	83
AT1G04390	1	0	0	2	1	0	0	2	1	3	4	1	6	0	4	1	2	2	2	1	1	1	4	5	1	4	2	5	1	2	0	1	2	1
AT1G04410	6	5	6	2	8	4	15	6	7	6	17	2	30	13	37	9	28	11	36	10	7	7	6	12	11	11	28	25	20	55	29	46	16	57
AT1G04420	0	4	0	0	0	0	4	3	7	3	2	8	9	22	11	7	6	11	9	9	3	7	2	4	3	9	9	20	9	26	7	35	8	26
AT1G04425	52	196	69	177	66	172	127	176	152	255	159	227	51	99	46	84	47	60	44	69	38	254	43	320	36	352	21	211	38	225	27	245	21	254
AT1G04510	4	0	6	1	3	0	4	1	4	1	4	3	8	4	2	2	4	5	5	1	1	1	1	2	1	3	4	7	6	7	4	6	6	13
AT1G04530	3	1	3	1	4	1	22	13	54	14	37	11	36	11	29	6	31	5	27	9	17	18	13	16	17	24	12	30	16	19	14	31	22	23
AT1G04550	8	14	15	6	1	8	20	35	30	28	24	33	60	33	52	30	34	20	37	26	17	45	20	56	31	70	21	43	25	35	24	33	14	47
AT1G05030	2	0	2	0	0	1	6	1	4	6	6	3	7	5	4	5	5	6	5	2	2	9	2	13	7	7	2	12	3	13	0	8	5	9
AT1G05070	2	0	1	2	2	0	33	6	30	12	30	3	33	16	32	15	29	12	32	14	9	21	18	20	8	28	14	45	13	35	15	23	21	33
AT1G05120	5	2	8	4	8	1	6	2	5	6	8	5	27	4	20	7	15	4	10	4	2	8	12	8	6	15	7	33	5	22	3	20	10	27
AT1G05150	35	16	31	25	35	18	69	47	87	48	93	55	106	63	103	42	99	42	96	44	28	78	39	104	48	106	53	175	43	153	52	148	58	160
AT1G05160	242	23	236	29	220	23	537	57	660	87	678	78	722	150	583	91	554	101	536	121	277	129	383	162	379	179	333	269	282	273	322	263	297	254
AT1G05190	0	1	0	1	0	2	3	10	12	5	6	8	18	14	20	6	14	3	12	8	4	6	3	2	1	4	8	16	5	16	11	18	8	16
AT1G05200	1	1	2	2	2	1	0	2	4	1	1	2	26	4	16	6	11	4	19	5	0	6	0	1	0	8	0	21	1	22	1	23	0	21
AT1G05270	0	1	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	2	0	0
AT1G05280	10	16	9	5	19	10	71	12	99	15	80	19	142	4	149	7	119	5	124	8	20	60	23	62	26	75	9	185	5	131	4	131	3	128
AT1G05350	58	11	69	12	73	13	315	67	408	80	395	71	483	105	377	84	358	72	373	91	140	142	209	179	174	197	244	257	220	215	224	218	252	243
AT1G05360	0	1	3	1	5	3	7	2	10	3	9	4	25	2	13	4	10	4	9	3	2	5	3	12	4	8	7	24	10	14	8	20	11	10
AT1G05370	4	1	3	2	2	1	2	2	4	4	2	4	3	3	4	1	2	2	1	1	1	3	3	9	2	7	4	7	0	3	3	5	5	7
AT1G05380	3	2	7	2	6	2	5	2	6	2	4	4	11	5	12	4	10	1	7	4	3	4	4	7	4	7	1	13	8	13	1	12	2	17
AT1G05410	14	12	5	8	7	6	68	43	98	56	61	49	96	36	75	36	92	18	71	28	37	74	41	102	32	110	48	79	47	96	51	97	59	89
AT1G05430	4	4	6	2	5	2	14	3	10	8	6	9	21	7	17	6	22	11	14	15	1	9	3	12	4	11	8	34	8	14	4	20	9	21
AT1G05440	8	5	8	6	8	1	14	6	11	6	19	3	6	3	6	1	4	4	3	0	6	3	7	7	7	6	8	9	4	7	3	8	7	11
AT1G05460	14	3	16	1	16	7	186	67	256	98	224	85	151	46	122	41	112	36	117	54	80	135	119	163	114	184	54	129	51	115	44	113	49	129
AT1G05490	2	1	0	1	0	1	6	3	12	2	9	2	51	0	21	0	26	0	34	0	0	8	0	10	0	10	0	68	0	65	1	54	2	74
AT1G05590	0	2	1	0	1	1	4	1	5	1	2	0	13	3	5	3	7	4	13	4	0	2	1	3	0	3	3	10	6	20	11	16	3	14
AT1G05620	0	1	0	0	1	0	2	0	2	0	3	0	4	1	6	1	7	2	9	1	2	4	3	3	6	2	7	6	5	12	7	5	3	5
AT1G05630	2	0	1	1	2	1	8	4	8	4	11	3	18	3	12	3	9	4	11	2	3	7	3	8	8	6	3	10	1	7	4	6	7	10
AT1G05640	0	1	2	0	2	0	2	2	7	3	1	2	6	3	2	2	8	5	5	4	0	3	1	2	0	5	1	5	2	8	0	5	2	4
AT1G05820	0	1	1	1	0	0	1	0	1	0	2	1	6	4	3	4	3	7	3	3	0	2	0	0	0	0	0	5	0	5	1	10	1	8
AT1G05830	9	0	13	4	13	5	52	7	63	13	68	14	92	28	75	23	79	17	60	21	26	29	28	39	40	32	21	43	26	48	16	42	21	49
AT1G05835	0	1	2	0	0	0	4	19	5	16	15	12	26	34	18	18	24	32	10	26	5	25	5	33	2	43	6	51	7	38	7	47	8	41
AT1G05850	29	16	35	18	31	15	239	103	269	127	253	109	662	182	535	172	546	131	543	132	53	273	87	372	67	377	128	984	105	784	103	804	89	729
AT1G05910	3	2	2	0	0	1	17	5	23	7	29	4	19	6	10	5	8	3	17	2	10	11	6	21	8	14	9	15	4	15	6	10	7	15
AT1G06000	2	0	0	0	1	0	6	2	10	5	9	4	12	21	19	11	16	23	16	10	3	1	1	2	2	3	10	33	8	21	7	31	11	24
AT1G06010	2	1	6	2	4	2	50	4	40	9	47	7	82	30	56	11	47	18	56	13	15	17	19	20	21	23	16	29	17	33	26	36	26	41
AT1G06070	1	0	0	0	0	0	2	2	0	1	2	2	16	6	11	5	5	2	8	4	0	0	2	6	2	6	5	7	4	6	8	11	8	16
AT1G06110	0	1	3	1	1	1	19	12	18	9	18	13	47	17	23	8	47	15	19	11	4	13	12	15	9	15	12	19	9	22	9	21	6	20
AT1G06150	1	0	5	0	0	0	7	0	6	3	3	1	4	2	4	2	6	1	4	3	0	2	0	4	2	2	3	1	3	8	3	2	2	3
AT1G06170	43	1	46	2	34	6	144	37	132	43	125	31	34	11	14	8	19	4	19	2	56	75	74	90	72	94	24	17	13	15	9	15	11	13
AT1G06190	2	0	2	0	2	0	23	16	36	19	35	26	43	25	18	14	32	11	20	12	9	21	7	18	7	26	26	32	17	25	28	22	22	31
AT1G06200	4	1	3	3	2	0	36	8	60	15	55	19	55	17	46	7	52	4	32	8	25	23	27	23	22	19	9	20	10	29	14	17	13	15
AT1G06210	6	1	3	2	10	2	22	7	30	19	36	16	49	18	40	13	42	8	40	11	10	20	13	25	10	21	18	49	17	40	24	45	21	46
AT1G06220	4	0	5	0	2	0	9	3	16	7	7	9	19	8	12	3	19	2	7	4	2	5	4	12	3	16	5	18	7	18	8	12	3	12
AT1G06230	6	1	5	4	4	4	63	28	58	49	64	31	102	63	73	23	57	34	64	33	29	68	28	82	32	71	36	145	39	158	62	165	49	161
AT1G06240	0	1	0	0	1	0	3	1	7	5	6	1	8	1	3	1	3	1	4	1	4	1	3	4	3	5	2	6	0	2	0	2	0	3
AT1G06250	0	1	0	0	0	0	3	0	2	1	3	0	2	0	0	0	1	1	0	0	0	2	1	2	2	1	1	0	1	1	1	0	0	2
AT1G06270	5	2	3	0	5	3	20	10	35	11	23	13	13	7	15	8	12	10	12	6	4	13	7	28	16	27	9	30	9	30	12	36	11	28
AT1G06380	4	3	1	2	1	0	7	4	8	5	4	6	10	4	7	5	7	3	10	3	6	6	8	7	2	10	8	16	3	9	4	12	7	17
AT1G06390	2	0	4	4	2	2	4	6	7	15	10	11	26	8	11	10	5	7	14	7	2	21	3	16	4	20	5	27	9	24	6	23	7	24
AT1G06410	1	7	8	1	2	0	31	12	28	16	38	16	106	46	69	34	70	34	66	31	7	34	18	43	19	50	32	133	33	136	41	136	40	125
AT1G06420	1	2	0	0	1	0	9	5	11	12	10	5	24	10	13	7	17	8	11	6	7	10	8	12	6	14	10	15	11	23	11	27	18	20
AT1G06430	1	0	0	0	1	0	4	0	3	0	2	1	3	1	3	1	5	0	1	0	1	2	1	0	0	2	0	3	0	2	0	2	0	1
AT1G06440	2	0	3	2	3	1	7	8	6	14	7	9	30	19	15	21	20	11	13	22	0	28	4	25	6	37	12	47	2	34	4	32	4	33
AT1G06460	2	1	6	1	4	1	15	3	21	8	24	3	21	7	16	1	20	3	11	2	5	6	4	7	5	4	3	22	2	16	3	15	2	19
AT1G06470	6	1	5	6	4	1	8	5	8	3	7	1	18	3	15	2	14	2	11	4	2	6	4	9	3	15	3	29	7	27	7	34	3	27
AT1G06500	2	0	0	0	2	2	22	6	16	2	22	7	28	4	24	2	19	5	20	4	4	8	14	4	10	11	11	27	11	24	19	23	15	25
AT1G06530	37	20	45	21	30	13	580	318	621	364	610	344	731	228	608	176	598	220	612	147	188	455	280	528	273	565	280	714	205	555	184	521	224	549
AT1G06560	20	5	29	6	25	7	20	5	26	6	35	7	39	12	30	6	21	1	21	7	9	5	11	3	5	13	12	29	17	28	11	28	11	32
AT1G06580	3	0	5	0	2	0	7	3	14	2	7	2	16	5	12	4	8	1	10	3	4	6	6	4	3	7	9	9	7	9	10	14	4	9
AT1G06590	3	1	3	1	6	2	6	2	7	2	6	3	5	0	5	2	6	0	6	0	0	3	1	6	1	4	3	11	3	5	2	9	3	5
AT1G06630	10	4	10	4	8	11	32	18	40	17	39	23	33	9	38	11	31	15	35	9	16	50	19	43	25	52	18	45	15	38	15	41	11	42
AT1G06640	2	0	4	0	3	0	4	0	9	0	13	0	34	0	24	1	29	2	30	2	4	0	6	0	4	0	5	1	5	0	5	1	2	0
AT1G06660	1	1	1	0	1	1	2	0	0	2	2	0	0	2	0	0	0	1	1	0	2	0	0	2	1	2	1	2	0	1	0	2	1	1
AT1G06670	2	0	1	0	3	0	13	9	8	6	12	5	8	2	5	4	9	4	12	5	3	11	2	14	3	18	5	11	9	24	13	13	9	19
AT1G06690	5	0	5	1	5	0	5	2	6	0	5	2	13	0	9	1	4	1	9	0	2	2	3	0	0	3	4	2	1	6	3	4	11	6
AT1G06700	1	1	0	2	0	2	1	1	2	3	10	0	8	3	14	2	12	0	11	3	0	1	1	1	1	4	5	11	2	10	5	11	4	10
AT1G06720	5	0	2	0	1	1	15	2	16	8	14	3	46	13	20	9	42	9	33	15	6	9	7	4	6	17	25	35	23	36	25	33	19	48
AT1G06740	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	5	1	2	0	1	2	0
AT1G06790	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
AT1G06820	1	4	1	3	1	3	8	1	7	3	9	6	28	7	19	7	16	7	18	3	3	4	3	7	5	5	16	22	7	25	12	23	5	20
AT1G06850	3	0	2	4	1	2	7	1	9	1	7	2	5	3	3	1	6	0	4	0	1	4	3	4	2	4	3	7	4	4	1	2	1	8
AT1G06870	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AT1G06950	8	6	7	6	12	9	32	25	54	36	48	30	85	18	58	30	65	29	50	18	13	35	21	61	24	39	40	108	33	114	49	98	47	95
AT1G07020	0	2	1	3	3	2	2	2	7	3	3	5	10	7	10	4	7	3	13	2	7	11	4	11	1	17	8	14	4	19	5	28	3	18
AT1G07040	9	2	15	5	22	1	46	9	46	15	64	16	102	23	92	13	90	18	76	21	19	44	24	45	27	54	31	141	29	105	28	118	39	98
AT1G07080	70	39	75	31	69	33	545	189	662	261	653	211	458	186	373	167	351	192	387	155	246	356	349	513	350	537	180	365	153	276	157	310	151	305
AT1G07110	3	0	1	0	1	0	1	1	1	2	2	3	17	7	18	9	14	6	13	9	1	1	5	3	2	2	15	26	3	31	9	27	9	28
AT1G07130	1	0	1	0	0	0	0	0	1	0	2	1	4	0	1	0	2	3	4	1	0	1	1	2	0	1	1	1	0	3	0	1	0	3
AT1G07135	3	0	6	0	6	0	545	150	723	197	716	188	1456	320	1110	269	1076	250	1069	271	87	569	128	756	116	757	255	2529	223	2350	258	2483	278	2547
AT1G07140	19	10	13	6	16	7	114	73	138	83	166	69	205	78	134	68	133	70	141	56	52	155	81	181	67	179	73	201	53	181	66	156	62	177
AT1G07170	1	0	2	0	0	0	0	2	1	0	8	0	1	0	0	1	1	0	1	2	1	0	1	1	1	0	0	1	0	2	0	1	3	1
AT1G07200	0	2	0	0	0	0	2	7	6	0	3	2	8	4	7	8	9	10	11	5	1	1	1	4	1	4	6	10	4	12	6	11	8	15
AT1G07230	16	1	15	1	13	4	37	3	43	7	26	9	80	14	64	21	69	19	71	9	11	10	8	38	7	38	20	94	17	64	23	75	17	87
AT1G07250	8	10	9	8	6	11	175	22	220	24	224	19	315	4	285	9	306	9	275	6	14	64	19	82	13	88	21	196	10	172	16	156	17	137
AT1G07280	11	12	18	17	17	19	93	39	139	65	133	68	246	93	189	62	205	94	186	73	50	173	64	224	55	191	73	413	78	378	55	436	54	448
AT1G07310	9	0	10	0	10	5	27	5	64	17	56	8	69	13	48	4	45	7	49	6	17	20	11	28	16	25	21	48	22	35	23	33	22	32
AT1G07350	1	1	0	1	0	0	86	23	123	34	111	43	63	9	50	11	52	7	49	5	43	76	72	90	70	99	32	68	32	63	28	60	31	66
AT1G07360	27	29	22	24	11	20	142	70	175	105	169	95	115	38	104	30	120	20	93	14	73	195	79	265	83	268	53	146	52	125	52	113	39	114
AT1G07370	1	1	4	0	2	0	2	1	5	1	5	2	5	0	1	0	1	0	2	1	2	3	3	6	0	5	11	9	9	7	10	10	12	9
AT1G07380	3	2	4	2	3	0	6	2	10	8	10	4	16	13	12	10	9	8	7	12	4	11	5	16	7	18	5	15	5	13	3	9	5	8
AT1G07400	1	0	0	0	0	0	238	82	293	133	317	89	874	267	686	200	676	188	644	196	116	312	144	409	150	411	218	891	266	1079	262	1075	250	1133
AT1G07470	1	0	1	2	2	0	5	3	2	1	2	0	18	2	12	3	14	2	4	1	2	4	4	7	4	2	10	6	3	4	4	8	7	10
AT1G07510	1	1	0	0	1	0	2	3	7	6	2	2	20	4	8	1	13	3	11	1	6	4	1	3	2	4	5	24	5	19	3	15	7	19
AT1G07590	1	1	0	0	3	1	26	8	46	10	50	17	218	88	145	60	157	70	152	64	18	27	15	21	26	21	72	518	80	569	96	600	84	675
AT1G07620	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AT1G07630	4	0	2	0	3	0	10	4	11	8	9	7	32	8	28	16	20	8	28	12	13	8	8	13	9	14	9	29	10	39	7	30	8	30
AT1G07645	0	2	1	0	0	0	0	0	1	0	7	0	1	1	0	1	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
AT1G07660	3	1	2	1	4	3	13	9	13	14	18	14	33	13	26	12	26	9	32	14	7	22	6	17	8	13	12	49	18	53	26	55	31	49
AT1G07670	6	2	3	2	4	6	14	14	24	6	22	10	35	11	30	9	19	11	25	10	11	12	12	25	14	21	10	27	5	28	5	28	8	30
AT1G07700	3	0	0	0	0	1	2	0	2	2	4	1	10	2	5	3	7	2	11	3	0	1	2	2	3	3	7	2	4	5	3	5	4	6
AT1G07720	5	0	3	0	8	0	19	0	32	0	41	0	158	3	120	3	132	0	124	3	0	14	1	20	0	23	2	435	0	354	0	385	1	378
AT1G07740	2	4	2	1	0	1	0	0	9	1	2	0	6	8	6	1	11	4	6	3	2	6	2	9	6	6	0	1	3	2	3	0	2	4
AT1G07750	30	11	29	2	21	9	50	17	38	19	45	21	149	41	91	47	97	34	101	35	29	45	38	40	38	47	67	114	59	102	42	87	58	107
AT1G07840	3	0	2	0	6	0	4	2	6	3	4	4	26	3	14	2	14	2	16	2	1	1	3	4	6	2	8	9	3	9	6	15	5	15
AT1G07870	4	2	5	1	5	0	101	38	114	73	90	61	133	80	110	70	100	56	98	67	30	105	42	125	54	132	57	204	53	186	48	191	55	195
AT1G07890	292	121	298	128	305	115	3798	1405	4826	1716	4742	1655	4660	734	3683	605	3530	602	3474	570	1395	3284	1672	4057	1693	4081	966	3431	644	2476	703	2537	677	2627
AT1G07930	5	1	4	1	6	3	5	3	14	3	16	4	8	5	9	1	13	4	10	1	4	4	7	7	8	11	8	17	8	14	10	16	11	10
AT1G07980	6	2	5	2	6	4	58	17	50	16	59	20	45	17	48	22	43	13	47	15	19	33	25	50	19	49	33	55	20	52	14	49	15	51
AT1G08010	3	0	0	2	2	0	6	3	10	3	2	1	31	12	24	8	19	11	27	7	6	9	5	4	3	4	12	22	10	19	8	30	7	41
AT1G08030	10	3	16	0	18	3	18	2	19	5	22	7	22	6	24	5	25	9	21	7	11	11	9	21	10	16	6	34	5	20	8	28	8	26
AT1G08060	8	6	8	3	7	1	22	30	39	23	39	16	49	18	37	19	28	19	34	9	14	36	13	43	14	50	20	52	14	51	16	46	9	58
AT1G08110	1	1	1	0	0	0	3	1	6	4	1	2	5	3	1	1	5	2	2	0	1	2	2	1	1	3	3	1	1	4	4	4	2	3
AT1G08125	0	1	0	0	0	0	4	3	6	4	6	5	8	4	3	2	4	1	3	2	1	4	2	4	0	4	0	6	2	9	0	4	0	3
AT1G08190	8	3	11	5	10	5	33	15	27	28	39	16	28	10	20	16	17	19	18	11	12	38	14	58	8	71	9	52	14	44	13	47	11	54
AT1G08200	14	6	14	6	17	8	84	30	94	33	77	36	219	80	191	62	207	67	159	65	23	62	20	80	39	80	56	137	47	106	60	107	43	126
AT1G08230	1	0	2	0	3	0	14	4	19	3	20	1	14	2	11	9	12	7	10	5	6	7	8	9	10	12	9	10	12	12	5	10	5	10
AT1G08370	7	3	4	4	8	3	24	7	42	16	31	15	36	11	24	11	27	6	28	5	23	31	23	39	20	41	16	29	8	12	5	11	4	15
AT1G08410	1	0	5	1	6	0	7	6	13	9	8	5	7	3	9	4	7	5	4	3	2	3	2	7	4	4	2	7	2	6	3	9	4	11
AT1G08420	4	2	0	2	1	2	2	0	3	2	2	0	5	1	1	0	1	1	1	2	0	2	0	4	0	2	1	3	0	2	2	2	1	3
AT1G08430	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
AT1G08460	9	2	10	0	11	4	230	57	257	66	235	69	140	34	119	20	116	31	103	27	83	72	92	104	102	95	49	107	38	84	36	69	48	78
AT1G08510	3	1	1	0	1	0	9	2	13	5	11	6	27	10	22	3	27	10	29	6	3	4	2	8	2	8	10	50	7	48	8	49	7	45
AT1G08540	18	0	10	4	16	3	61	15	59	27	59	21	67	16	58	19	49	11	38	15	21	16	33	29	47	19	31	38	35	30	37	30	21	30
AT1G08600	4	2	2	3	2	4	17	7	18	6	15	8	8	2	10	2	18	4	16	2	6	13	10	22	14	16	10	22	8	22	8	19	6	26
AT1G08620	3	3	4	3	4	4	9	2	14	5	9	5	23	5	7	12	11	4	14	9	5	10	4	14	0	10	5	24	4	16	6	25	6	20
AT1G08630	30	1	21	2	27	4	75	7	83	13	75	8	68	10	50	7	53	4	44	7	41	11	40	26	48	20	47	31	51	31	55	39	56	53
AT1G08640	3	0	3	0	5	1	6	6	10	4	13	3	45	15	27	6	34	5	22	5	5	8	7	5	5	10	20	19	20	22	23	24	16	28
AT1G08650	0	2	0	0	0	0	9	1	18	2	15	7	11	5	7	3	8	3	20	5	7	7	2	19	6	10	4	19	4	10	1	9	2	8
AT1G08680	5	1	2	1	5	0	8	7	13	3	7	4	19	12	13	11	10	7	14	6	8	25	9	32	9	24	9	27	8	21	8	18	10	20
AT1G08700	23	9	29	14	31	11	155	96	200	110	210	105	178	49	130	45	133	43	140	35	71	136	74	174	96	177	77	141	54	145	67	120	60	145
