Gene	mat_SRR068962	pat_SRR068962	mat_SRR068963	pat_SRR068963	mat_SRR068964	pat_SRR068964	mat_SRR068968	pat_SRR068968	mat_SRR068969	pat_SRR068969	mat_SRR068970	pat_SRR068970	mat_SRR068971	pat_SRR068971	mat_SRR068972	pat_SRR068972	mat_SRR068973	pat_SRR068973	mat_SRR068974	pat_SRR068974	pat_SRR068984	mat_SRR068984	pat_SRR068985	mat_SRR068985	pat_SRR068986	mat_SRR068986	pat_SRR068987	mat_SRR068987	pat_SRR068988	mat_SRR068988	pat_SRR068989	mat_SRR068989	pat_SRR068990	mat_SRR068990
AT5G46300	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	3
AT5G46350	0	1	0	0	0	0	8	5	6	7	5	3	25	7	15	9	19	4	18	5	3	4	2	5	1	6	5	16	3	12	7	11	8	16
AT5G46390	1	0	0	0	0	0	4	0	3	0	2	0	7	0	2	1	1	0	4	1	0	1	1	0	0	1	0	8	5	8	1	5	2	2
AT5G46400	6	3	7	2	1	2	19	6	25	7	22	8	46	9	38	15	34	11	24	8	6	10	16	11	6	15	13	28	16	29	15	28	14	25
AT5G46410	4	2	3	0	10	1	25	14	31	13	23	17	33	8	17	5	26	9	27	7	13	24	15	52	26	37	12	53	12	33	14	30	11	24
AT5G46420	5	2	4	1	1	1	14	10	18	8	14	12	28	9	23	6	15	10	27	11	4	7	4	15	11	10	15	34	11	26	11	34	9	30
AT5G46430	1	0	1	2	2	0	2	1	2	2	2	1	11	5	14	1	18	3	14	3	2	4	0	1	0	2	12	11	5	15	3	9	8	9
AT5G46450	3	0	3	2	1	1	2	1	0	3	3	0	10	2	5	6	5	3	5	4	1	1	5	2	1	0	9	2	12	4	16	3	13	3
AT5G46470	0	5	0	3	2	0	9	5	16	3	10	2	51	14	39	11	44	15	40	12	6	2	6	9	5	10	8	37	7	37	6	30	7	28
AT5G46540	7	0	8	2	11	5	71	10	81	15	76	11	196	4	135	5	156	2	141	2	28	38	29	38	28	51	5	105	8	86	14	66	6	74
AT5G46550	7	0	1	1	4	0	11	11	17	6	25	10	51	22	38	12	33	13	30	14	8	16	6	17	6	24	17	79	25	62	17	65	27	83
AT5G46570	3	2	7	3	3	4	5	2	12	7	12	8	12	7	12	4	7	6	4	4	4	11	4	8	4	8	8	9	5	10	4	18	8	22
AT5G46580	2	2	3	1	3	0	9	9	11	6	6	8	12	23	10	26	11	16	11	13	1	6	1	9	4	4	21	41	13	20	15	21	16	29
AT5G46620	1	3	1	1	0	0	19	8	18	6	14	10	25	16	28	7	19	7	20	7	6	12	5	21	7	16	5	40	9	27	10	42	7	33
AT5G46630	58	14	46	16	50	19	177	53	225	71	196	66	337	69	238	53	232	70	236	74	65	126	100	170	84	188	113	298	101	289	124	288	155	297
AT5G46740	4	1	5	4	2	5	15	16	25	17	24	20	20	11	14	9	22	6	11	3	12	32	16	31	11	26	9	36	16	35	14	49	19	38
AT5G46750	1	0	0	0	4	2	7	2	5	2	3	1	29	9	21	5	19	4	16	1	1	1	4	1	2	2	6	10	4	6	3	9	1	6
AT5G46760	48	12	59	21	44	13	189	100	240	87	234	115	299	92	282	72	245	76	245	78	78	166	107	231	112	230	114	315	113	291	113	278	123	297
AT5G46840	2	1	1	1	5	0	5	2	9	2	8	0	34	7	23	5	31	8	18	4	5	0	2	6	3	12	10	32	10	18	8	25	8	22
AT5G46850	3	0	0	1	4	0	4	1	9	3	5	3	12	9	11	6	7	4	10	1	3	3	5	10	1	3	5	9	5	11	6	14	6	10
AT5G46860	55	16	65	18	38	12	184	118	257	136	282	104	236	91	175	69	163	74	180	67	83	154	104	206	109	224	94	193	90	233	93	231	113	243
AT5G46870	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AT5G46880	28	21	25	21	26	16	273	138	329	176	329	170	731	361	591	261	574	299	607	271	148	308	211	367	192	393	324	495	233	389	186	329	229	386
AT5G47010	2	2	3	2	3	4	6	3	12	8	17	7	11	3	8	0	13	5	8	4	5	16	10	18	9	17	3	11	2	11	4	9	7	12
AT5G47020	27	11	26	13	31	7	79	27	102	24	113	39	127	45	116	41	130	37	102	39	49	79	60	112	49	101	62	142	40	117	37	122	41	129
AT5G47050	0	1	0	1	0	2	3	0	3	1	3	1	29	0	17	0	19	0	20	0	0	14	0	17	0	22	0	151	0	87	0	93	0	109
AT5G47060	0	1	0	0	1	1	9	3	7	2	9	8	36	20	22	14	23	12	22	8	3	7	6	4	1	14	11	39	14	42	19	48	12	45
AT5G47070	4	0	1	1	3	1	50	15	60	16	45	11	145	35	103	34	108	34	89	37	37	39	51	47	58	57	51	82	43	89	37	88	36	97
AT5G47080	1	4	1	1	1	2	11	15	13	14	16	14	54	18	30	20	25	11	26	17	4	19	5	21	5	16	7	47	12	58	21	68	20	57
AT5G47090	40	20	31	10	41	24	284	139	357	155	379	157	313	133	270	123	263	82	253	103	143	334	187	396	180	396	75	229	64	154	80	164	83	208
AT5G47110	2	1	0	0	0	0	1	0	2	6	4	2	6	9	4	3	8	5	3	5	2	1	4	5	4	3	4	3	5	8	4	1	5	5
AT5G47120	2	2	3	0	1	1	40	16	35	13	40	14	45	10	21	6	29	6	32	3	15	34	13	36	25	40	12	56	8	54	14	46	18	49
AT5G47150	0	1	2	1	4	1	178	3	179	7	198	6	805	0	699	1	665	0	628	2	1	105	5	142	4	170	0	665	3	649	1	645	4	706
AT5G47180	0	1	0	0	0	1	3	0	1	1	1	0	3	4	4	1	2	0	0	0	0	0	1	0	0	2	1	9	2	15	1	2	2	13
AT5G47210	0	2	0	0	2	3	3	6	5	10	2	2	30	19	24	9	30	15	20	9	1	4	4	3	3	4	14	33	10	28	8	30	11	24
AT5G47310	28	15	22	14	30	11	68	24	78	40	84	43	88	29	81	20	68	20	85	27	21	50	27	65	38	72	31	105	22	84	27	99	26	95
AT5G47320	2	2	1	1	0	1	3	2	5	4	3	1	12	0	6	3	5	2	5	2	2	6	2	5	3	7	2	7	7	6	1	8	7	9
AT5G47330	1	0	2	0	0	0	51	0	62	0	52	0	50	0	41	0	33	0	33	0	1	55	0	72	0	72	0	56	1	75	0	55	0	57
AT5G47360	14	3	16	9	9	4	40	17	57	23	49	34	83	25	64	18	75	19	47	24	13	38	23	49	19	57	20	71	31	65	18	68	28	71
AT5G47430	5	0	1	2	3	3	8	8	27	11	18	3	27	7	15	8	27	3	18	7	8	24	11	25	11	35	8	34	6	35	10	26	7	26
AT5G47480	18	3	16	9	19	3	36	19	40	10	40	13	63	16	50	8	52	11	47	12	27	42	26	35	27	39	13	59	18	53	14	57	16	48
AT5G47490	17	4	15	0	22	2	41	30	44	20	45	20	33	13	27	15	39	16	30	12	36	76	36	98	30	94	7	37	5	29	6	21	11	28
AT5G47500	5	0	0	0	1	0	23	19	31	21	25	13	2	2	1	5	6	3	5	1	13	3	8	9	11	1	3	0	3	1	0	1	2	0
AT5G47520	9	0	11	0	11	2	38	14	61	35	50	23	45	24	21	19	32	24	32	22	21	38	21	62	31	59	17	67	19	58	12	62	22	56
AT5G47550	14	5	23	11	21	9	135	40	156	50	130	55	164	59	141	43	138	39	132	46	66	99	74	161	85	150	82	102	57	83	51	78	54	86
AT5G47650	3	4	2	2	2	5	22	8	24	14	22	7	36	19	28	15	27	8	32	15	10	13	12	28	13	20	28	45	22	26	26	24	27	36
AT5G47660	4	2	3	1	1	1	72	52	75	51	71	50	46	18	35	21	46	16	43	17	37	65	56	93	37	95	22	35	14	39	12	28	13	26
AT5G47750	21	10	27	8	31	4	100	44	108	41	126	42	224	52	168	39	170	43	160	32	43	62	62	85	56	85	76	116	53	119	60	101	74	111
AT5G47760	0	1	1	0	0	0	12	6	22	6	15	3	20	5	23	0	21	2	13	7	4	10	8	13	6	11	7	19	6	16	6	18	8	22
AT5G47770	8	7	8	4	8	5	23	5	26	5	23	3	36	4	37	1	26	0	30	0	3	17	8	19	9	21	9	43	6	32	8	40	2	39
AT5G47780	72	13	54	15	58	20	214	84	308	92	274	93	386	135	267	99	274	102	291	102	86	189	137	226	144	257	126	403	126	415	142	354	128	374
AT5G47790	9	7	8	2	5	0	31	12	35	20	32	16	52	22	50	22	39	17	42	20	12	32	18	34	17	30	11	45	16	32	13	43	19	38
AT5G47800	5	0	1	0	1	0	49	4	51	2	46	2	53	6	44	2	39	3	43	4	10	9	11	13	14	7	15	8	16	12	17	7	19	11
AT5G47810	3	0	6	2	5	0	28	26	44	21	46	19	63	25	60	24	65	21	43	17	11	47	14	35	14	45	24	42	26	37	25	47	20	46
