Gene	mat_SRR924077	pat_SRR924077	pat_SRR924078	mat_SRR924078
AC197699.3_FG003	214	92	105	300
AC197705.4_FG001	2983	4265	2829	12202
AC197705.4_FG003	59	71	6	38
AC197705.4_FG004	11	3	8	58
AC197705.4_FG006	743	298	435	853
AC197705.4_FG007	928	458	241	615
AC197705.4_FG011	8	7	6	2
AC197717.3_FG002	3184	1361	2361	2054
AC197758.3_FG004	16	0	0	0
AC198169.4_FG004	211	57	88	165
AC198206.5_FG001	2	0	4	0
AC198229.4_FG002	0	1	0	9
AC198371.3_FG011	2	0	0	4
AC198418.3_FG005	52	7	40	95
AC198481.3_FG004	37	38	50	143
AC198490.3_FG003	4	3	0	4
AC198700.2_FG004	86	31	101	124
AC198725.4_FG004	6	6	6	27
AC198725.4_FG007	143	153	191	538
AC198725.4_FG009	3	0	0	0
AC198901.4_FG004	4	0	4	0
AC198937.4_FG003	2	1	3	15
AC199001.3_FG005	651	277	401	583
AC199039.3_FG003	9	8	1	11
AC199058.2_FG001	22	11	8	29
AC199068.2_FG017	86	0	38	2
AC199363.4_FG003	11	4	8	22
AC199370.4_FG006	3	0	0	0
AC199384.3_FG002	1	6	0	1
AC199526.5_FG002	5089	1591	2522	4540
AC199526.5_FG003	35	0	5	28
AC199571.3_FG003	0	3	0	12
AC199782.5_FG001	391	251	169	462
AC199782.5_FG002	14	21	14	38
AC199782.5_FG003	24	19	17	43
AC199820.4_FG006	211	87	287	664
AC199826.4_FG003	6	16	11	36
AC200069.4_FG002	60	7	25	21
AC200178.2_FG003	3	0	4	0
AC200210.1_FG006	28	22	16	35
AC200256.3_FG003	4	0	0	0
AC200495.3_FG001	9	0	0	0
AC200753.3_FG003	45	1	0	252
AC202073.4_FG001	4	10	3	30
AC202144.5_FG001	1	0	0	0
AC202185.4_FG004	88	0	2	526
AC202435.3_FG001	3	1	2	18
AC202549.3_FG008	4	0	0	0
AC202707.3_FG002	74	29	52	83
AC202864.3_FG002	106	29	57	80
AC203019.3_FG001	4	8	4	19
AC203173.3_FG001	1	0	0	0
AC203173.3_FG004	12957	5111	7075	15673
AC203307.4_FG001	9	8	1	2
AC203366.4_FG001	15	10	10	25
AC203394.3_FG004	9	4	5	1
AC203424.3_FG001	545	296	211	635
AC203535.4_FG001	156	72	122	311
AC203535.4_FG002	2537	870	700	1281
AC203535.4_FG006	4	0	0	0
