Gene	mat_SRR660921	pat_SRR660921	pat_SRR660932	mat_SRR660932
AC148152.3_FG008	1	0	0	3
AC148167.6_FG001	53	76	74	40
AC149475.2_FG002	678	54	240	43
AC149475.2_FG003	322	136	88	127
AC149475.2_FG005	84	43	40	76
AC149475.2_FG007	46	9	20	17
AC149818.2_FG005	4	0	1	0
AC149818.2_FG006	22	25	72	18
AC149818.2_FG007	12	2	0	15
AC149818.2_FG009	8	0	0	0
AC149828.2_FG002	95	118	21	73
AC149829.2_FG002	3594	1351	1393	2552
AC149829.2_FG003	64	68	3	53
AC149829.2_FG004	2	0	0	0
AC149829.2_FG006	269	101	85	161
AC150739.3_FG001	29	11	9	18
AC152495.1_FG010	2	0	0	0
AC152495.1_FG012	2	7	0	16
AC152495.1_FG017	1	0	0	0
AC155376.2_FG004	9	3	1	3
AC155376.2_FG005	47	32	13	43
AC155377.1_FG001	123	92	58	106
AC155390.2_FG002	7	3	2	6
AC155434.2_FG001	2	0	0	1
AC155434.2_FG004	315	156	143	170
AC155434.2_FG005	2	19	0	52
AC155496.2_FG009	275	141	109	188
AC155622.2_FG001	79	40	26	45
AC155622.2_FG004	82	69	37	94
AC155624.2_FG006	19	28	9	19
AC159612.1_FG007	22	11	2	13
AC165171.2_FG002	3	0	0	0
AC166636.1_FG007	3	20	1	14
AC166636.1_FG008	4	0	1	3
AC177850.2_FG003	0	1	0	2
AC177850.2_FG005	22	5	2	9
AC177897.2_FG002	3	3	3	8
AC177908.3_FG002	103	36	39	73
AC182482.3_FG003	2	16	1	6
AC182617.3_FG001	43	26	4	24
AC183315.4_FG006	1	2	1	3
AC183319.3_FG001	1	0	0	0
AC183932.3_FG007	161	77	64	117
AC183950.2_FG004	1	0	2	1
AC183950.2_FG005	8	3	5	5
AC183968.2_FG001	14	0	1	3
AC184130.4_FG012	3	5	0	0
AC184169.3_FG001	30	10	24	14
AC184794.2_FG003	1	3	0	0
AC185108.3_FG010	0	3	0	5
AC185108.3_FG011	1	0	0	0
AC185300.4_FG002	7	2	2	8
AC185475.3_FG001	4	4	0	2
AC185588.2_FG002	5	0	0	4
AC186233.3_FG007	1	0	1	0
AC186493.4_FG002	9	0	9	0
AC186577.3_FG006	1	0	0	0
AC186592.3_FG003	0	1	0	1
AC186603.6_FG003	3	0	1	0
AC187090.3_FG011	6	0	0	0
AC187157.4_FG002	112	56	26	93
AC187157.4_FG005	1	1	0	0
AC187207.3_FG006	2	0	1	0
AC187262.4_FG007	456	25	101	28
AC187263.4_FG001	6	0	8	0
AC187551.3_FG002	16	7	6	16
AC187885.3_FG002	1	0	0	0
AC188003.3_FG012	119	22	7	3
AC188023.3_FG005	127	61	80	112
AC188023.3_FG011	2	0	0	0
AC188721.3_FG001	2	0	0	0
AC188831.3_FG005	11	0	3	0
AC188838.3_FG005	47	26	7	30
AC189750.4_FG004	124	112	63	247
AC189879.3_FG003	1	0	0	1
AC190491.1_FG002	2	0	0	0
AC190526.3_FG004	1	0	0	0
AC190609.3_FG002	1691	890	454	740
AC190623.3_FG001	138	61	49	68
AC190628.4_FG007	10	6	3	6
AC190688.3_FG006	0	1	0	0
AC190701.3_FG001	3	0	0	0
AC190788.2_FG004	2	0	0	2
AC190788.2_FG005	2	0	2	2
AC190792.2_FG006	71	2	44	0
AC190841.2_FG007	26	31	14	29
AC190933.3_FG004	384	55	144	85
AC191009.3_FG004	15	0	0	1
AC191049.3_FG007	2	0	0	0
AC191050.3_FG003	0	12	0	12
AC191069.3_FG004	112	178	38	166
AC191113.2_FG002	56	35	13	44
AC191251.3_FG005	12	13	8	18
AC191360.3_FG004	2	22	0	46
AC191421.3_FG001	1	0	0	0
AC191534.3_FG003	3	30	33	1
AC191551.3_FG003	1	0	0	0
AC191598.3_FG007	2	0	0	0
AC191601.1_FG003	1	0	9	0
AC191676.3_FG011	0	1	0	0
AC191704.3_FG007	15	4	4	0
AC191771.3_FG008	37	9	18	21
AC192244.3_FG007	87	47	27	61
AC192362.3_FG002	4	2	0	8
AC192362.3_FG003	7	17	2	27
AC192451.3_FG001	188	151	89	313
AC192608.3_FG004	0	1	1	1
AC193353.3_FG002	1	0	0	0
AC193591.3_FG001	1	0	2	1
AC193754.3_FG008	2	0	0	0
AC193787.3_FG008	12	6	0	6
AC194022.3_FG013	24	11	4	25
AC194097.3_FG009	0	9	0	12
AC194214.3_FG002	1	0	0	0
AC194259.3_FG001	3	0	0	0
AC194264.3_FG006	30	15	16	14
AC194341.4_FG003	1	0	0	0
AC194341.4_FG004	7	2	0	6
AC194355.3_FG002	1	0	1	0
AC194405.3_FG021	10	2	3	0
AC194425.3_FG005	36	5	13	11
AC194591.2_FG005	0	20	0	48
AC194828.3_FG004	2	0	0	0
AC194914.3_FG002	44	21	12	55
AC194942.3_FG001	0	1	0	6
AC194970.5_FG002	53	27	32	35
AC195172.3_FG001	6	0	4	0
AC195331.3_FG008	16	4	5	2
AC195340.3_FG001	8409	5005	2701	6722
AC195340.3_FG002	281	174	102	240
AC195340.3_FG004	404	156	292	334
AC195545.3_FG003	1	0	0	0
AC195587.4_FG004	3	6	1	28
AC195785.3_FG004	2	2	0	5
AC195860.3_FG005	1	1	0	2
AC195860.3_FG006	317	186	45	128
AC195874.2_FG002	193	120	51	128
AC195957.3_FG003	1	0	0	0
AC195980.2_FG004	1	0	0	0
AC195989.3_FG004	1	0	0	0
AC196059.3_FG003	18	24	2	12
AC196066.3_FG003	20	14	13	35
AC196090.3_FG006	66	34	5	62
AC196130.3_FG002	0	1	0	0
AC196156.3_FG003	35	11	30	12
AC196417.3_FG008	69	7	3	7
AC196475.3_FG005	806	293	399	652
